Zona Peso
ZonaA 0.77
ZonaA 0.68
ZonaA 0.8
ZonaA 0.93
ZonaA 0.66
ZonaA 0.66
ZonaA 0.94
ZonaA 0.82
ZonaA 0.63
ZonaA 0.78
ZonaA 0.63
ZonaA 0.63
ZonaA 0.74
ZonaA 0.41
ZonaA 0.44
ZonaA 0.62
ZonaA 0.55
ZonaA 0.75
ZonaA 0.56
ZonaA 0.49
ZonaA 0.92
ZonaA 0.67
ZonaA 0.71
ZonaA 0.49
ZonaA 0.62
ZonaA 0.72
ZonaA 0.53
ZonaA 0.76
ZonaA 0.61
ZonaA 0.66
ZonaA 0.61
ZonaA 0.98
ZonaA 0.7
ZonaA 0.54
ZonaA 0.82
ZonaA 0.52
ZonaA 0.73
ZonaA 0.41
ZonaA 0.5
ZonaA 0.73
ZonaA 0.81
ZonaA 0.73
ZonaA 0.68
ZonaA 0.65
ZonaA 0.48
ZonaA 0.59
ZonaA 0.63
ZonaA 0.86
ZonaA 0.75
ZonaA 0.44
ZonaB 0.96
ZonaB 0.82
ZonaB 0.76
ZonaB 1.02
ZonaB 1.11
ZonaB 1.09
ZonaB 0.73
ZonaB 0.84
ZonaB 0.97
ZonaB 1.1
ZonaB 0.8
ZonaB 0.86
ZonaB 0.68
ZonaB 0.66
ZonaB 1.06
ZonaB 1.17
ZonaB 0.89
ZonaB 1.1
ZonaB 0.97
ZonaB 0.77
ZonaB 0.97
ZonaB 1.21
ZonaB 0.89
ZonaB 1.21
ZonaB 0.38
ZonaB 1.06
ZonaB 0.92
ZonaB 0.84
ZonaB 0.92
ZonaB 0.5
ZonaB 0.86
ZonaB 0.97
ZonaB 1.2
ZonaB 0.8
ZonaB 0.74
ZonaB 0.8
ZonaB 1.08
ZonaB 0.97
ZonaB 0.79
ZonaB 1.0
ZonaB 0.92
ZonaB 1.09
ZonaB 0.76
ZonaB 0.83
ZonaB 0.82
ZonaB 0.61
ZonaB 0.96
ZonaB 0.95
ZonaB 0.9
ZonaB 0.85
ZonaB 0.62
ZonaB 0.82
ZonaB 0.83
ZonaB 0.74
ZonaB 0.87
ZonaB 0.98
ZonaB 1.28
ZonaB 0.93
ZonaB 0.95
ZonaB 0.89
